,id,name,description,modified,available_comics,available_series,year,year_tags
106,1011013,Fantastic Four (Ultimate),,1969-12-31,99,28,1969-01-01,1969
107,1011111,Fantastick Four,,1969-12-31,1,1,1969-01-01,1969
108,1009301,Fantomex,,2014-04-29,63,17,2014-01-01,2010-2017
109,1011233,Fat Cobra,,2011-05-26,16,6,2011-01-01,2010-2017
110,1009335,Felicia Hardy,,1969-12-31,3,2,1969-01-01,1969
111,1009302,Fenris,,1969-12-31,6,5,1969-01-01,1969
112,1011213,Feral,,1969-12-31,6,4,1969-01-01,1969
113,1009303,Fin Fang Foom,,2011-05-24,27,16,2011-01-01,2010-2017
114,1010868,Firebird,,1969-12-31,35,12,1969-01-01,1969
115,1009304,Firebrand,,1969-12-31,7,4,1969-01-01,1969
117,1009305,Firelord,,2010-11-18,41,23,2010-01-01,2010-2017
118,1009306,Firestar,,2013-10-17,106,43,2013-01-01,2010-2017
119,1011222,Firestar (Ultimate),,2011-03-10,5,4,2011-01-01,2010-2017
121,1009312,Galactus,,2014-09-30,234,110,2014-01-01,2010-2017
123,1009313,Gambit,,2016-03-14,490,124,2016-01-01,2010-2017
125,1010763,Gamora,,2016-06-02,69,31,2016-01-01,2010-2017
127,1010832,Gargoyle,,2004-04-14,15,5,2004-01-01,2004
128,1012512,Gargoyle (Isaac Christians),,2021-08-27,14,2,2021-01-01,2020-2021
129,1012513,Gargoyle (Yuri Topolov),,2010-12-15,1,1,2010-01-01,2010-2017
131,1009383,Garrison Kane,,1969-12-31,19,10,1969-01-01,1969
132,1009315,Gateway,,1969-12-31,29,12,1969-01-01,1969
133,1009316,Gauntlet (Joseph Green),,2014-04-29,29,8,2014-01-01,2010-2017
136,1011285,Generation X,,1969-12-31,100,10,1969-01-01,1969
137,1009317,Genesis,,1969-12-31,16,3,1969-01-01,1969
138,1011098,Genis-Vell,,1969-12-31,1,1,1969-01-01,1969
139,1014974,George Stacy (Ultimate),,2012-07-10,9,6,2012-01-01,2010-2017
140,1011400,H.A.M.M.E.R.,,1969-12-31,8,5,1969-01-01,1969
141,1009332,H.E.R.B.I.E.,,2012-03-20,1,1,2012-01-01,2010-2017
142,1011391,Hairball,,1969-12-31,8,2,1969-01-01,1969
143,1009333,Half-Life (Tony Masterson),,1969-12-31,1,1,1969-01-01,1969
144,1009334,Hammerhead,,1969-12-31,30,17,1969-01-01,1969
145,1014995,Hammerhead (Ultimate),,2012-07-11,5,4,2012-01-01,2010-2017
146,1011490,Hank Pym, ,2015-06-01,240,89,2015-01-01,2010-2017
147,1011091,Hannibal King,,1969-12-31,2,1,1969-01-01,1969
148,1009348,Happy Hogan,,2010-11-03,18,4,2010-01-01,2010-2017
149,1010821,Hardball,,2014-04-29,17,3,2014-01-01,2010-2017
151,1009336,Harpoon,,1969-12-31,13,5,1969-01-01,1969
